lat,lng
0,0
-34.4387441,-58.5582104
-34.4387974,-58.5580121
-34.4390795,-58.5576578
-34.439469,-58.5571239
-34.4396867,-58.5568633
-34.4401528,-58.5563636
-34.44019,-58.5562072
-34.4404457,-58.5559165
-34.4408114,-58.5554504
-34.4410684,-58.5551063
-34.4411737,-58.5552804
-34.4417993,-58.5543782
-34.4417865,-58.5541973
-34.442037,-58.5538282
-34.4425292,-58.5531543
-34.4427556,-58.5529032
-34.4430671,-58.5524506
-34.4434332,-58.5520879
-34.443792,-58.5516719
-34.4440944,-58.5510193
-34.444451,-58.5507355
-34.4449337,-58.550148
-34.445036,-58.5498806
-34.4455345,-58.5492913
-34.4459348,-58.5487829
-34.4461711,-58.5484244
-34.4465734,-58.5479349
-34.4470701,-58.5473321
-34.4471285,-58.5467977
-34.4470466,-58.5467386
-34.4467897,-58.5464173
-34.446104,-58.545652
-34.4459403,-58.5454923
-34.4456418,-58.5449977
-34.4449572,-58.54422
-34.4447742,-58.5439645
-34.4443675,-58.5432973
-34.4440445,-58.5430884
-34.4439837,-58.5426108
-34.4442462,-58.5418121
-34.4444415,-58.5410004
-34.4445741,-58.5406777
-34.4446528,-58.5397331
-34.4447355,-58.5390971
-34.4448484,-58.5386662
-34.4448954,-58.5381326
-34.4447573,-58.5376001
-34.4449802,-58.5369427
-34.4452181,-58.5362724
-34.4452977,-58.5360091
-34.4453882,-58.5353034
-34.445627,-58.5347979
-34.4456411,-58.5342869
-34.4456188,-58.5337037
-34.4459648,-58.5329476
-34.4462627,-58.5326533
-34.4463687,-58.5322397
-34.4465061,-58.5319742
-34.4467566,-58.5311587
-34.4469029,-58.5308255
-34.4470364,-58.5304913
-34.4463756,-58.5319673
-34.4463414,-58.5320494
-34.4480283,-58.5281185
-34.4483496,-58.5272523
-34.4485323,-58.5270246
-34.4488558,-58.5261548
-34.4489607,-58.5258546
-34.4490412,-58.5256876
-34.4495977,-58.5250167
-34.4498843,-58.5246826
-34.450295,-58.5243862
-34.4509951,-58.5239731
-34.4512234,-58.5238368
-34.4520549,-58.5235091
-34.4524789,-58.5233709
-34.452916,-58.5230239
-34.4530323,-58.5224708
-34.453349,-58.5223577
-34.4539679,-58.5221796
-34.4540502,-58.5220688
-34.4556125,-58.5216137
-34.4559184,-58.5214444
-34.4564258,-58.5209563
-34.4566108,-58.520611
-34.4560718,-58.5184685
-34.4563651,-58.518429
-34.4565428,-58.5184938
-34.4574735,-58.517721
-34.4574691,-58.517645
-34.4574995,-58.5175748
-34.4579015,-58.516738
-34.458362,-58.5161921
-34.4586681,-58.5157755
-34.4588771,-58.5155744
-34.4589383,-58.5151564
-34.4589412,-58.5150813
-34.458936,-58.5150916
-34.4604786,-58.5141328
-34.4610374,-58.5140213
-34.4612957,-58.5137273
-34.4616988,-58.513561
-34.4623066,-58.5131166
-34.462809,-58.5127305
-34.4631142,-58.512383
-34.4634625,-58.5119942
-34.4639279,-58.5116532
-34.4643802,-58.5112518
-34.4645123,-58.5111907
-34.465098,-58.5109087
-34.4651021,-58.5108589
-34.4653337,-58.5105112
-34.4653907,-58.5103256
-34.4655939,-58.5099068
-34.4656791,-58.5098212
-34.4659253,-58.5097561
-34.4658377,-58.5095346
-34.4652938,-58.5105356
-34.4660973,-58.5082847
-34.4662797,-58.5079325
-34.4662872,-58.5078686
-34.4663396,-58.5069742
-34.4663382,-58.5067772
-34.4664125,-58.5062676
-34.4670164,-58.5057018
-34.4671632,-58.5053902
-34.4676484,-58.5048198
-34.4677564,-58.5044443
-34.4679298,-58.5037519
-34.4681382,-58.5034355
-34.4684819,-58.5034687
-34.4686403,-58.5029153
-34.4686464,-58.5028892
-34.4686469,-58.5028805
-34.468707,-58.5025372
-34.4687249,-58.5024922
-34.4690217,-58.5025539
-34.4691743,-58.5014508
-34.4694076,-58.5009409
-34.4697047,-58.5002419
-34.4699923,-58.4997915
-34.4702779,-58.4990734
-34.4704561,-58.4988136
-34.470867,-58.49835
-34.470834,-58.4977451
-34.4713168,-58.49746
-34.4714963,-58.4967052
-34.4717163,-58.4960608
-34.4720666,-58.4951638
-34.4721498,-58.4946166
-34.4724395,-58.4940096
-34.4725763,-58.4936766
-34.4726502,-58.493225
-34.4728882,-58.4927252
-34.4730144,-58.4921866
-34.4734104,-58.4915845
-34.4732868,-58.4908728
-34.4734599,-58.4903732
-34.4736465,-58.4900604
-34.4737897,-58.4896736
-34.474165,-58.489264
-34.4742544,-58.489036
-34.474117,-58.4886482
-34.47408,-58.4885748
-34.4740777,-58.4885832
-34.4754177,-58.4867921
-34.4757193,-58.4864033
-34.4756307,-58.4865966
-34.4769058,-58.4854366
-34.4769356,-58.4854313
-34.4769232,-58.4854266
-34.4769209,-58.4854335
-34.4769207,-58.4854346
-34.4769208,-58.4854344
-34.4769209,-58.4854341
-34.476921,-58.4854339
-34.476921,-58.4854338
-34.476921,-58.4854337
-34.4795728,-58.4832972
-34.4795942,-58.4832477
-34.4798407,-58.4829012
-34.4798975,-58.4828219
-34.4798991,-58.4828202
-34.479891,-58.4828318
-34.4798812,-58.4828457
-34.4798728,-58.4828575
-34.4798668,-58.4828659
-34.4798631,-58.4828711
-34.4798611,-58.4828738
-34.4798603,-58.4828749
-34.4798603,-58.4828749
-34.4798607,-58.4828743
-34.4798613,-58.4828735
-34.483918,-58.4821877
-34.483918,-58.4821877
-34.483918,-58.4821877
-34.483918,-58.4821877
-34.483918,-58.4821877
-34.4850347,-58.4816799
-34.4853223,-58.4810081
-34.4859762,-58.48084
-34.4862873,-58.4808534
-34.4858713,-58.4808694
-34.487296,-58.4821989
-34.4874355,-58.482325
-34.4875804,-58.482458
-34.4884309,-58.4816506
-34.4889012,-58.4813369
-34.4893742,-58.4813994
-34.4895616,-58.481414
-34.4902707,-58.4813396
-34.4903395,-58.4813865
-34.4902741,-58.4813867
-34.49029,-58.4813878
-34.4903739,-58.4815005
-34.4902447,-58.4813757
-34.4901829,-58.4812179
-34.4902985,-58.4811233
-34.4898648,-58.4801946
-34.4899606,-58.4797866
-34.4895232,-58.4799829
-34.4894867,-58.4813936
-34.4892209,-58.4816458
-34.4890952,-58.4811253
-34.4890278,-58.48104
-34.4890212,-58.481044
-34.4889461,-58.4812183
